case,scf_method,ieps_ms,scf_ms,total_ms,canny_ms
circle_clean,greedy,8.9822,2.7677,11.7499,2.9580
circle_noisy,greedy,11.0387,3.3897,14.4284,4.8599
u_shape_clean,greedy,7.1216,2.6523,9.7739,1.0069
u_shape_noisy,greedy,7.0284,2.7170,9.7454,3.6730
