case,yuen_snake_precision,yuen_snake_recall,yuen_snake_f1,yuen_snake_ms,ieps_snake_precision,ieps_snake_recall,ieps_snake_f1,ieps_snake_ms
circle_noisy,1.0000,0.4635,0.6334,101.5910,1.0000,0.4635,0.6334,116.8922
u_shape_noisy,1.0000,0.3708,0.5410,104.8174,1.0000,0.3818,0.5526,110.9702
