case,paper_ieps_points,paper_ieps_accuracy,paper_f1,improved_ieps_points,improved_ieps_accuracy,improved_f1,f1_delta,paper_total_ms,improved_total_ms
circle_clean,32,1.0,1.0,64,1.0,1.0,0.0,12.446200009435415,27.121199935209006
circle_noisy,32,1.0,1.0,64,1.0,1.0,0.0,12.457100034225732,25.561700051184744
u_shape_clean,32,0.78125,0.6135147137881869,64,0.9375,0.7004298121856676,0.08691509839748068,13.371100008953363,29.406400048173964
u_shape_noisy,32,0.78125,0.5908213259437246,64,0.9375,0.6964684473597355,0.10564712141601085,14.430999988690019,26.139400026295334
