case,yuen_true_points,yuen_total_points,yuen_accuracy,yuen_neighbor_mean,yuen_neighbor_std,ieps_true_points,ieps_total_points,ieps_accuracy,ieps_neighbor_mean,ieps_neighbor_std
circle_noisy,32,32,1.0000,13.8479,0.3333,32,32,1.0000,13.8614,0.3333
u_shape_noisy,29,32,0.9062,18.7547,10.3325,25,32,0.7812,19.3102,5.5726
